,geometry,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR
85,"POLYGON ((-83.736158 31.037679, -83.743729 30.658396, -83.61172 30.651258, -83.357703 30.63736, -83.482461 30.756931, -83.370898 30.884828, -83.475617 31.031964, -83.574857 31.078135, -83.736158 31.037679))",13,00540,1300540,Brooks County School District,00,PK,12,G5420,,E,1277341275,11955761,+30.8229337,-083.5819054,2021,2020-2021
86,"MULTIPOLYGON (((-81.308852 31.98233, -81.404926 31.936868, -81.376954 31.848257, -81.154731 31.713070000000002, -81.139326 31.852618, -81.308852 31.98233)), ((-81.780858 32.15289, -81.76334 32.11762, -81.384727 32.079517, -81.391698 32.095886, -81.43583 32.241289, -81.780858 32.15289)))",13,00570,1300570,Bryan County School District,00,PK,12,G5420,,E,694472940,39618215,+31.8468915,-081.2937059,2021,2020-2021
87,"POLYGON ((-84.01164 34.142197, -83.979278 34.092121, -83.97514 34.100429, -83.959609 34.131139, -83.956318 34.129961, -83.952397 34.123901, -83.950222 34.127774, -83.99672699999999 34.144342, -84.010438 34.149324, -84.010984 34.149517, -84.01164 34.142197), (-83.973754 34.136218, -83.979478 34.138276, -83.969565 34.134724, -83.970704 34.135129, -83.973754 34.136218))",13,00600,1300600,Buford City School District,00,PK,12,G5420,,E,46963478,219199,+34.1199310,-083.9899762,2021,2020-2021
88,"POLYGON ((-82.030233 32.53877, -81.918652 32.415073, -81.969069 32.268783, -81.81628 32.23747, -81.780858 32.15289, -81.43583 32.241289, -81.548006 32.489286, -81.841005 32.649093, -82.001236 32.60691, -82.030233 32.53877))",13,00630,1300630,Bulloch County School District,00,PK,12,G5420,,E,1750735217,32827779,+32.3944811,-081.7416185,2021,2020-2021
89,"POLYGON ((-82.26758 33.267397, -82.272353 32.937796, -82.316512 32.835772, -82.144977 32.812741, -82.081337 32.916776, -81.857985 32.953882, -81.767553 32.909411, -81.541831 33.045654, -81.614033 33.095251, -81.83154 33.23335, -81.852076 33.247288, -82.092592 33.230084, -82.26758 33.267397))",13,00660,1300660,Burke County School District,00,PK,12,G5420,,E,2142023426,20571289,+33.0601805,-082.0001638,2021,2020-2021
90,"POLYGON ((-84.102582 33.298191, -84.123767 33.202824, -84.041498 33.202629, -83.822261 33.180238, -83.863058 33.368278, -83.923913 33.444194, -84.102582 33.298191))",13,00690,1300690,Butts County School District,00,PK,12,G5420,,E,475754793,11269640,+33.2878552,-083.9569325,2021,2020-2021
91,"MULTIPOLYGON (((-84.909963 34.489378, -84.909983 34.488964, -84.909226 34.488951, -84.909212 34.489364, -84.909963 34.489378)), ((-84.979641 34.498212, -84.946138 34.475232, -84.907499 34.511461, -84.969624 34.533132, -84.979641 34.498212)))",13,00720,1300720,Calhoun City School District,00,PK,12,G5420,,E,41177782,193617,+34.4908062,-084.9393191,2021,2020-2021
92,"POLYGON ((-84.817843 31.619771, -84.819807 31.501192, -84.637579 31.433926, -84.429876 31.436661, -84.450398 31.621868, -84.546854 31.621199, -84.817843 31.619771))",13,00750,1300750,Calhoun County School District,00,PK,12,G5420,,E,726191502,8271470,+31.5212790,-084.6262895,2021,2020-2021
93,"POLYGON ((-81.766241 31.16965, -81.936006 31.047993, -81.904855 30.82834, -81.718109 30.744806, -81.347015 30.712444, -81.400482 30.766426, -81.306435 30.990644, -81.423775 30.990892, -81.766241 31.16965))",13,00780,1300780,Camden County School District,00,PK,12,G5420,,E,1632622505,392508756,+30.9133580,-081.6420193,2021,2020-2021
94,"POLYGON ((-82.030233 32.53877, -82.148338 32.520429, -82.232788 32.318838, -82.025339 32.278883, -81.969069 32.268783, -81.918652 32.415073, -82.030233 32.53877))",13,00810,1300810,Candler County School District,00,PK,12,G5420,,E,629520841,15018189,+32.4039497,-082.0712656,2021,2020-2021
